ALLIANCE RESOURCE PARTNERS LP,1086600,1221
ALLIANCE SEMICONDUCTOR CORP /DE/,0913293,3674
ALLIANCEBERNSTEIN HOLDING L.P.,0825313,6282
ALLIANCEBERNSTEIN L.P.,1109448,6282
ALLIANT ENERGY CORP,0352541,4931
ALLIANT TECHSYSTEMS INC,0866121,3760
ALLIANZ AKTIENGESELLSCHAFT,1127508,6411
ALLIED BANCSHARES INC,1259339,6021
ALLIED DEFENSE GROUP INC,0003952,3480
ALLIED HEALTHCARE INTERNATIONAL INC,0890634,8082
ALLIED HEALTHCARE PRODUCTS INC,0874710,3842
ALLIED HOLDINGS INC,0909950,4213
ALLIED IRISH BANKS PLC,0850364,6029
ALLIED MOTION TECHNOLOGIES INC,0046129,3825
ALLIED RESOURCES INC,1211524,1382
Allied Security Holdings LLC,1301566,7381
ALLIED WASTE INDUSTRIES INC,0848865,4953
ALLIN CORP,1020391,7373
ALLION HEALTHCARE INC,0847935,5122
Allis Chalmers Energy Inc.,0003982,1389
ALLOS THERAPEUTICS INC,1097264,2834
ALLOY  INC,1080359,5961
ALLOY STEEL INTERNATIONAL INC,1127454,3320
ALLSCRIPTS HEALTHCARE SOLUTIONS INC,1124804,5122
AllShips Ltd.,1083725,9995
ALLSTATE CORP,0899051,6331
ALLSTATE LIFE GLOBAL FUNDING,1176267,6189
ALLSTATES WORLDCARGO INC,1072293,4731
ALLTEL CORP,0065873,4812
ALLURA INTERNATIONAL INC,1082741,5094
ALMADEN MINERALS LTD,1015647,1000
ALMOST FAMILY INC,0799231,8300
ALNILAM CORP,1128288,6770
ALNYLAM PHARMACEUTICALS  INC.,1178670,2834
ALP LIQUIDATING TRUST,0814046,1531
ALPHA GOLD CORP,1157807,1040
ALPHA INNOTECH CORP,0830736,3826
Alpha Natural Resources  Inc.,1310243,1221
ALPHA PRO TECH LTD,0884269,3842
ALPHA SPACECOM INC,0763245,7372
ALPHARMA INC,0730469,2834
ALPHARX INC,1114936,2834
ALPHATRADE COM,1076462,7389
ALPINE AIR EXPRESS INC/DE,1092807,4522
ALPINE GROUP INC /DE/,0004164,3357
ALR TECHNOLOGIES INC,1087022,3669
ALTAIR NANOTECHNOLOGIES INC,1016546,2890
ALTANA    AKTIENGESELLSCHAFT,1182802,2834
ALTEON INC /DE,0878903,2834
ALTERA CORP,0768251,3674
ALTERNATE ENERGY CORP,1075773,2810
ALTERNATIVE ASSET GROWTH FUND L P,0851998,6792
ALTERNATIVE ENERGY SOURCES INC,1175867,8742
Alternative Loan Trust 2004-10CB,1291956,6189
Alternative Loan Trust 2004-12CB,1291946,6189
Alternative Loan Trust 2004-13CB,1291955,6189
Alternative Loan Trust 2004-14T2,1296345,6189
ALTERNATIVE LOAN TRUST 2004-15,1298682,6189
Alternative Loan Trust 2004-16CB,1296346,6189
ALTERNATIVE LOAN TRUST 2004-17CB,1299206,6189
Alternative Loan Trust 2004-18CB,1299134,6189
ALTERNATIVE LOAN TRUST 2004-20T1,1299016,6189
ALTERNATIVE LOAN TRUST 2004-22CB,1301777,6189
ALTERNATIVE LOAN TRUST 2004-24CB,1304832,6189
ALTERNATIVE LOAN TRUST 2004-25CB,1307181,6189
ALTERNATIVE LOAN TRUST 2004-26T1,1307180,6189
Alternative Loan Trust 2004-27CB,1307365,6189
Alternative Loan Trust 2004-7T1,1288867,6189
Alternative Loan Trust 2004-8CB,1289064,6189
ALTERNATIVE LOAN TRUST 2004-9T1,1291970,6189
Alternative Loan Trust 2004-J7,1302190,6189
Alternative Loan Trust 2004-J8,1302120,6189
Alternative Loan Trust 2004-J9,1304973,6189
ALTERNATIVE LOAN TRUST MORT PASS THROUGH CERT SERIES 2003-4,1234577,6189
ALTERNET SYSTEMS INC,1126003,7372
ALTEX INDUSTRIES INC,0775057,1311
ALTIGEN COMMUNICATIONS INC,1003607,3661
ALTIRIS INC,1139650,7372
ALTO PALERMO SA APSA,1128173,6512
ALTRIA GROUP  INC.,0764180,2000
ALTUS EXPLORATIONS INC,1165639,1040
ALUMINA LTD,0857071,3330
ALUMINUM CORP OF CHINA LTD,1161611,3334
ALVARION LTD,1108332,3661
AM MARKETING INC,1133265,9995
AMACORE GROUP  INC.,0949394,7389
AMADOR GOLD CORP,1266833,1040
AMANASU ENVIRONMENT CORP,1142801,4955
AMANASU TECHNOLOGIES CORP,1168663,3751
AMARC RESOURCES LTD,1175596,1040
AMARILLO BIOSCIENCES INC,1014763,2834
AMARIN CORP PLC\UK,0897448,2834
AMARU INC,1139822,7389
AMASYS CORP,1023198,6799
AMAZON BIOTECH INC,1088781,2834
AMAZON COM INC,1018724,5961
AMB FINANCIAL CORP,0915393,6035
AMB PROPERTY CORP,1045609,6798
AMB PROPERTY LP,1045610,6500
AMBAC FINANCIAL GROUP INC,0874501,6351
AMBASE CORP,0020639,6282
AMBASSADORS GROUP INC,1162315,8200
AMBASSADORS INTERNATIONAL INC,0946842,4700
AMBIENT CORP /NY,1047919,4813
AMC ENTERTAINMENT INC,0722077,7830
AMCOL INTERNATIONAL CORP,0813621,1400
AMCON DISTRIBUTING CO,0928465,5141
AMCOR LTD,0869428,3990
AMCORE FINANCIAL INC,0714756,6021
AMDL INC,0838879,3841
AMDOCS LTD,1062579,7371
AMEDIA NETWORKS  INC.,0933955,3577
AMEDISYS INC,0896262,8082
AMEN PROPERTIES INC,1037599,6798
AMERA LINK INC,1133266,9995
Amera Resources CORP,1303180,1400
AMERALIA INC,0811419,1400
AMERCO /NV/,0004457,7510
AMERENENERGY GENERATING CO,1135361,4911
